,titles,ratings,reviews,dates,replies,reply_dates
223,Retour d'experience client,1,"Retour d'experience client
Retour d'experience client

Je bosse pres d'auchan haguenau et vais dans cette boutique pour acheter une bague de fiancaille taille 60. Manque de bol la taille de cette bague est beaucoup trop petite et ne passe pas la fallange.

Ma femme et moi vivons sur illkirch et nous decidons de echanger la bague sur auchan schweighouse-sur-moder et faire verifier la taille de son doigt. Il aurait fallu du 64 et cette bague n'existe pas dans cette taille
La vendeuse apprenant que nous venons d'illkirch nous conseille de nous laisser le temps de reflechir et d'aller la faire echanger sur auchan illkirch-grafenstaden( sans doute pour eviter de faire le retour).

Ma femme va donc seule sur illkirch-grafenstaden a auchan la vie en or et tombe sur un vendeur agreable qui commence a lui faire le bon d'achat mais d'un coup une responsable arrive et demande a refaire verifier la bague. Soit disant elle serait
tordue(la bague n'as jamais pu etre portée et a ete stockée dans son ecrain) ma femme a beau essayer d'expliquer la situation on ne veut pas l'entendre. Si j'avais ete la j'aurais fait un foin et aurait demander un responsable en faisant le pied de grue.

Le lendemain en retournant sur auchan schweighouse-sur-moder la vie en or avec la bague je tombe sur une vendeuse beaucoup plus aimable qui a l'air expérimentée.
Elle passe une bonne minute a visualiser la bague a la loupe et conclue qu'elle n'a rien.

Lors d'une discussion subtile sans lui avoir avouer qu'on avait voulu l'echanger sur illkirch-grafenstaden en disant que je préfère simplement la faire retourner la ou je l'ai acheter elle m'explique

""Vous avez bien fait... les autres boutiques du reseaux on tendance a refuser les retours provenant d'autres boutiques que la leur alors qu'ils n'ont pas le droit""


Je me doutais depuis le debut de la raison. C'est une pratique honteuse. La solution a ete trouver mais vous avez quand meme balader ma femme en lui mentant sur la qualité de la bague pour refuser un retour. C'est une honte et jamais nous n'acheterons quelque chose chez vous a partir de maintenant.

Bonne continuation. A dieu",2022-09-01T17:56:58.000Z,Bonjour et merci d'avoir partagé votre expérience. ,2022-09-03T11:47:13.516Z
224,Auchan Noyelles devenu trop grand,1,"Auchan Noyelles Godault devenu trop grand, pas de bancs, les WC à l autre bout de la galerie, des vigiles au comportement douteux et mesquin, qui sembleraient en savoir plus sur les clients que les clients eux-mêmes !! Explications demandées par Messenger, message transmis au ""responsable"" et aucun retour depuis ! Il serait bon de leur rappeler qu ils ne sont pas chez eux, que les clients viennent dépenser leur argent chez Auchan et méritent le respect ! merci !",2022-09-01T17:02:07.000Z,Bonjour et merci pour votre alerte concernant l'un des magasins Auchan. ,2022-09-03T11:34:11.056Z
225,Voilà plusieurs mois depuis avril 2022…,1,Voilà plusieurs mois depuis avril 2022 après plusieurs tentatives afin d'avoir une réponse à mon dossier le 16 08 22 j'ai reçu une confirmation de virement sous 5 jour sur mon compte bancaire aujourd'hui le 31 08 22 toujours rien reçu pourquoi tant de temps vous gagnez des millions d'euros et pour un remboursement de 160 euros vous faites la sourd d'oreilles après plusieurs mails toujours les mêmes réponse votre indemnisation est en cours,2022-08-31T14:47:32.000Z,Bonjour et merci pour votre alerte concernant un retard de remboursement.,2022-09-03T11:25:20.140Z
226,Des gros soucis de dlc en magasin et de…,1,Des gros soucis de dlc en magasin et de qualité dans les produits frais qui nous on fait quitter l'ensigne dont nous étions de fiďele client depuis plusieurs annés.,2022-08-31T13:12:27.000Z,Bonjour et merci pour votre alerte concernant la qualité de produits.,2022-09-03T11:19:39.835Z
227,Je rencontre un litige actuellement…,1,"Je rencontre un litige actuellement avec Auchan suite à l’achat de deux matelas sur leur site Auchan.fr . 
Je n’en peux plus des échanges par mails qui n’avance pas avec eux ( on ne me répond presque pas ) 
Et nous dormons sur des matelas totalement hors d’usage … 
UFC que choisir et le service des conssomateurs sont informer. On se moque ouvertement de moi ! Je ne recommande pas !!! C’est une catastrophe tellement honteux pour une enseigne aussi « connu » je ne vais pas gêner de laisser des mauvais avis sur les réseaux !!!! Je suis à boue depuis 4 mois on me balade et rien ne change !!   Service à fuir  !!!!",2022-08-31T07:56:49.000Z,Bonjour et merci pour votre alerte concernant un retard de livraison.,2022-09-03T11:14:03.955Z
228,Bonjour,1,"Bonjour, j'attends toujours le remboursement d'une commande réceptionnée le 2 aout dernier 1 article remboursé et le reste à la poubelle! Faut croire..... alors qu'il promette une remboursement dans les 14 jours après réception on est à presque à 1 mois et on me demande de patienter pour que le transporteur confirme qu'il a bien tout envoyé Alors qu'il y a un seul colis avec tous les produits dedans. On marche sur la tète !!!! J'insiste pour dire que ce n'est pas un pb de transporteur mais à pb au niveau de leur locaux et que je n'ai pas à patienter plus Mais rien à fair eil me promette un coup de fil de suivi dans les 48 heures Finalement tjrs rien C'est inadmissible",2022-08-29T19:51:38.000Z,Bonjour et merci pour votre alerte.,2022-08-31T08:04:11.914Z
229,Bonjour j ai acheté de la viande samedi…,1,"Bonjour j ai acheté de la viande samedi 27 août après midi
Saute de veau  dont la date d emballage était du 26 août jusqu au 30 août 2022 
La viande était verdie  coĺlante et odeurs forte ! 
Je l a ramene demain matin ! 
J espère être remboursé  ! 
Je suis très mecontente",2022-08-28T21:27:24.000Z,Bonjour et merci pour votre alerte concernant la qualité d'un produit.,2022-08-31T08:00:12.029Z
230,Chèque différé,1,"À chaque fin de mois, Auchan propose le service chèque différé. Service dont ne tient pas compte les caissières même quand on arrive au bon moment et qu'on demande à ce que notre chèque soit débité le mois suivant. Déçue !",2022-08-27T15:55:41.000Z,Bonjour et merci pour votre alerte concernant les chèques différés. ,2022-08-31T07:54:22.656Z
231,Acheté cafetière expresso qlive,1,Acheté cafetière expresso qlive. Produit café clair avec grains dès la première utilisation. Donc décide de la retourner le jour même de l achat à Auchan Petite Forêt. On me dit : on vous l'a reprend avec une franchise de trente pour cents car vous l avez utilisé. Fallait bien l utiliser une première fois pour se rendre compte du défaut de fabrication ai je répondu. Je perd donc 18€. Une blague quoi! De mieux en mieux ce magasin. Satisfait ou remboursé ! A bon? A fuir!,2022-08-27T08:37:46.000Z,Bonjour et merci d'avoir laissé un avis. ,2022-08-31T07:48:13.714Z
232,Vélo électrique SCOOTY,1,"Acheté un vélo électrique SCOOTY en solde le 30/06 à AUCHAN LE PONTET. Arrivé à la maison, je l'essaie et ne trouve aucune différence entre rouler avec l'assistance électrique ou sans. Je me dis que la batterie n'est peut-être pas assez chargée. Je la charge et essaie à nouveau le vélo. Toujours pareil. Le 25/07 je remplis une demande de sav sur internet. Le 02/08 AGEDISS vient enlever mon vélo (tant bien que mal, puisqu'il a fallu forcer pour le faire rentrer dans la camionnette déjà pleine du livreur !). Depuis mon vélo n'est toujours pas arrivé au SAV AUCHAN !!! AGEDISS dit que le protocole de retour avec auchan est compliqué, AUCHAN reconnaît que les retours mettent environ 3 semaines pour arriver au sav. Et tout le monde trouve ça normal ! Et bien moi non ! Après plusieurs appels au sav, on me promet des réponses précises par mail. J'attends toujours. Je pars en vacances en septembre et ne pourrais pas profiter de mon vélo. D'ailleurs quand pourrais-je l'utiliser ? Au mieux cet hiver ! Pas vraiment ce que j'espérais en l'achetant en juin...",2022-08-26T20:13:57.000Z,Bonjour et merci d'avoir pris le temps de partager votre expérience.,2022-08-31T07:41:59.928Z
233,Une catastrophe,1,"Une catastrophe !  Pas du tout professionnel !  L'attente n'en parlons pas, vous raccroche au nez. On a perdu mon dossier, j'ai du tout recommencer. Inacceptable",2022-08-26T10:32:14.000Z,"Bonjour,",2022-08-26T13:27:21.110Z
234,J'ai commandé et payé un téléphone en…,1,J'ai commandé et payé un téléphone en ligne avec Auchan Un peu plus tard ils m'ont demandé une pièce d'identité et un justificatif de domicile pour valider la commande 😒C'est du jamais vu même dans le tiers-monde !!!,2022-08-25T20:39:24.000Z,"Bonjour,",2022-08-26T07:35:24.610Z
235,Achat nettoyeur Hte pression mai 2022…,1,Achat nettoyeur Hte pression mai 2022 .une rallonge de lance défectueuse. Allo pour mise en œuvre garanties 6 appels au sav 2 mails .on nous ballade partout sans les réponses. Il faudrait renvoyer le nettoyeur complet par la poste pour avoir le changement d une pièce qui doit coûter 10 euros ou faire 30km au magasin le plus proche de chez moi .j attends encore un appel promis du service réclamation ...rien ..,2022-08-24T11:15:20.000Z,"Bonjour,",2022-08-24T12:28:36.767Z
236,J’ai acheté un four à micro ondes…,1,"J’ai acheté un four à micro ondes Quilive , en déballant le carton nous avons trouvé un four complètement cabossé, nous sommes allés échanger le produit contre un autre Quilive non cabossé. Or,  ce four ne s’arrète pas, nous devons le débrancher pour l’arrêter.
J’ai appelé le SAV qui m’informe que je dois moi-même l’expédier en réparation. Je dois donc à chaque fois. trouver de l’aide pour le transporter. Je signale que le produit est neuf et sous garantie.
En lisant tous les avis défavorables, il est certain que je ne ferais plus aucun achat dans cette enseigne.",2022-08-23T14:56:22.000Z,"Bonjour,",2022-08-24T12:36:55.614Z
237,Fuyez cette enseigne!!!,1,"Fuyez cette enseigne!!!

Première commande: set légo acheté par erreur et suite à mon annulation plus deux semaines pou obtenir son remboursement!
Seconde tentative, un achat pour un pc d'une valeur de 699€ générant une cagnotte promotionnelle waooh d'un montant de 83€ simultanément à l'activation de la carte Waooh, tombe à 20+10 après deux semaines d'échanges interminables...Personnel incompétent, menant les clients en bateau. L'équipe de passionnés encadrant la vie en bleu me laisse rêveur!!!
Je ne recommande pas du tout mais alors pas du tout!!!",2022-08-22T17:20:34.000Z,"Bonjour,",2022-08-23T13:38:15.276Z
238,1 étoile car je suis obligé d’en mettre…,1,"1 étoile car je suis obligé d’en mettre une mais en mérite zéro! 
Commande d’un siège auto sur Auchan.fr que je dois renvoyer car pas du tout adapté à mon véhicule..et là à commencé un combat ou j’ai du les appeler et rappeler et rappeler tout les jours pour ne serait-ce qu’obtenir un fichu bon de retour pour effectuer le renvoi. Une fois le bon enfiiiiiiin reçu par mail, je lis dans ce mail que je dois renvoyer le colis à mes frais (+ de 20 balles tout de même pour le renvoi) et que je serais remboursé dans les 5 jours suivant la réception! Hors 1 mois plus tard je ne suis toujours pas remboursé !!  Je dois appeler tout les jours pour qu’on me réponde toujours la même chose « nous allons revenir vers vous dans un délai de 48h madame » Jamais vu ça ! Pire SAV que j’ai vu jusqu’ici ! Plus jamais Auchan.fr une fois mais pas deux !!!!",2022-08-20T12:01:37.000Z,"Bonjour,",2022-08-20T13:40:19.672Z
239,garanti Auchan electroménager,1,"j ai souscrit a une extension de garanti, j ai déclaré en ligne un SAV pas de réponse de leurs part.",2022-08-19T16:02:16.000Z,"Bonjour, ",2022-08-20T13:45:36.429Z
240,Des arnaqueurs comme j'en ai rarement…,1,"Des arnaqueurs comme j'en ai rarement vu.
Je commande une table a 60 euros qui n'arrivera jamais chez moi. On me rembourse et on me propose en contrepartie de commander un modèle plus cher (car plus rien d'autre en Stock) et en geste commercial Auchan s'engage à prendre la différence en dédommagement. Je commande donc une table a 115 euros validée par une opératrice et sa supérieure et la paie en ligne. Et une fois la table reçue tous le monde me dit que le remboursement n'est plus possible.... Elle est pas belle la vie ?? Une arnaque rondement menée. 16 appels pour en arriver là...Auchan devrait arrêter de faire du commerce car c'est désastreux.",2022-08-17T18:45:31.000Z,"Bonjour,",2022-08-20T14:17:18.006Z
241,AUCHAN.fr : arnaque ou incompétence ?,1,"Je commande le 3 janvier sur Auchan.fr une machine à laver d'une valeur de 379€, livrée à domicile avec enlèvement du précédent matériel et installation (branchement de l'eau et débridage du tambour).
Cette livraison était assurée par l'entreprise AGEDISS.
Les livreurs viennent une première fois le 12 janvier et nous annoncent que puisque nous n'avons pas débranché nous-mêmes les tuyaux d'eau de la précédente machine, ils ne peuvent pas la prendre ni installer la nouvelle.
Ils reviennent le 15 janvier. Cette fois, ils emportent l'ancienne machine. Cependant, ils disent ne pas pouvoir installer la nouvelle car ils ""ne savent pas le faire"" et n'ont pas d'outils sur eux.
De plus, je remarque à ce moment-là que l'arrière de la machine avait été abîmé (plaque de métal enfoncée). Forcément, ils la poussaient et la tiraient comme des fourmis transportant une boule de bowling, en la cognant au passage contre tous les murs...
Ils repartent donc avec la nouvelle machine...

J'envoie un message à Auchan le 18 janvier. Pas de réponse.
J’appelle Auchan le 21 janvier : Auchan me dit qu’AGEDISS n’a pas lancé le retour.
Coup de téléphone à AGEDISS qui me confirme qu’ils ont lancé le retour le 15 janvier.
Je rappelle Auchan : on me dit que c’est bon, qu’il faut attendre le retour à l’entrepôt et que je serai ensuite remboursée.

N’étant pas remboursée, je rappelle le 5 février. On me dit qu’il n’y a pas eu confirmation que la machine est bien revenue à l’entrepôt.
On me dit aussi qu’une demande a été faite par le service client à l’entrepôt le 24 janvier.

Le 16 février, quatrième coup de fil vers 11h. Une nouvelle personne me redit qu’elle a envoyé un mail au « service concerné » et que je dois patienter, que l’arrivée de la machine à l’entrepôt peut prendre plus de trois semaines. Suite à mon insistance, on me passe un responsable qui m’indique qu’il a lui-même envoyé une demande en urgence et qu’on me rappellera le jour même pour me confirmer que le remboursement est en route, et ce, que la machine soit ou non arrivée à l’entrepôt. (Je n'ai jamais été rappelée.)

Enfin, le 17 mars, CINQUIEME coup de téléphone. La personne me dit qu’il existe un litige avec AGEDISS (entreprise de livraison) concernant la machine, et que pour cette raison, aucun processus de remboursement n’est enclenché envers moi pour le moment. Elle dit qu’elle relance la demande d’informations afin de savoir où cela en est.
Finalement, je reçois le remboursement le jour même.

Il aura donc fallu DEUX MOIS ET DEMI pour obtenir un simple remboursement... Deux mois et demi que j'aurais pu passer sans lave-linge, si je n'avais pas eu l'argent de côté pour en racheter un !!!

Bref, une aventure désastreuse avec Auchan qui engage une entreprise nullissime (AGEDISS), dont les employés ne sont ni des installateurs qualifiés, ni même des LIVREURS capables de transporter un colis encombrant sans abîmer le produit et l'endroit qu'ils traversent...
Un service client qui raconte n'importe quoi, ne comprend rien aux explications et n'a pour seule fonction que de vous faire raccrocher...
Presque 400 euros disparus dans la nature pendant deux mois et demi, et finalement remboursés sans un mot d'excuse évidemment...

Conclusion : n'achetez JAMAIS sur Auchan.fr !!!",2022-08-14T16:58:08.000Z,"Bonjour,",2022-08-21T20:02:41.852Z
242,Service Client incompétent,1,"samedi 30 juillet 2022 matin, j'ai passé sur le site internet auchan.fr. service traiteur, une première commande : 400552315 de 392.88 €
Cette commande devait être retirée le vendredi 5 entre 10h et 14h au magasin Porte des Alpes. Après avoir payé par e-carte bleue je me suis rendu compte que j'avais confondu porte des Alpes et porte de lyon et que j'aurais préféré retirer ma commande au magasin de Dardilly. 

Sur le site internet il n'est pas possible de modifier quoi que ce soit mais il y a un numéro à contacter pour poser des questions : le 09 69 32 59 59. 

La conseillère Mme BOMO m'a dit que l'on ne pouvait pas modifier la commande mais qu'il fallait passer une autre commande sur le site et qu'elle annulait la première commande sans problème et sans frais.
Un peu méfiant, je lui ai dit que malgré la distance plus longue je pouvais aller retirer la commande à St Priest. Je lui ai aussi demandé de me confirmer par écrit ( mail ou sms ) l'annulation de ma commande. Elle m'a certifié qu'il n'y aurait pas  de problème. 

J'ai donc passé une deuxième commande : 400552321 identique ( mais plus chère : 398.86 €) à retirer au magasin de Dardilly. 
Inquiet  de ne pas recevoir de confirmation de l'annulation de la première commande, j'ai passé plusieurs appels. J'ai eu plusieurs interlocuteurs ( Monsieur Ali Couacou ? ) qui chaque fois ont tenté de me rassurer oralement mais n'envoyant aucun écrit, j'ai même  demandé à parler à un responsable hiérarchique : impossible. Ceci jusqu'à  21h00, horaire de fermeture de la plateforme.
Idem lundi où dans l'après-midi on m'annonçait qu'il fallait demander au traiteur et que c'est lui qui décidait. Il voulait bien annuler la commande mais avec une pénalité de 30%.
Mardi matin idem Mme Bomo me dit que la 1ère commande 400552315 est annulée avec 30% de pénalités et que la commande 400552321 est bien prise en compte.
Toujours oralement, et malgré mes demandes insistantes, toujours aucune confirmation écrite (mail, sms, site internet pas mis à jour)
 Ce n'est pas sérieux et il y a de nombreux dysfonctionnements

Nous avons retiré notre commande 400552321 à Dardilly le vendredi 5 aout 2022

Vendredi 12 août 2022  :
Site toujours pas mis à jour.

275,02 € remboursés sur commande : 400552315 de 392.88 €

Le mauvais conseil de Madame ""Bomo"" , conseillère au 0969325959 m'a coûté  117,86 €.

Vendredi 12 Août le service client se retranche derrière leur règlement intérieur et ne prend pas du tout en considération que c'est le service client qui m'a mal conseillé.",2022-08-13T12:41:23.000Z,"Bonjour,",2022-08-21T20:06:29.589Z
243,Update de mon avis précédent.,1,"Update de mon avis précédent.
On plonge encore plus dans l'incompétence frisant la limite du l'amateurisme et de l'escroquerie.
Il y a deux jours suite à mes nombreux appels à Auchan, au fournisseur de ma commande et au transporteur, on me dit qu'à cela va être livré.
Ce jour j'apprends que je dois encore attendre 1 semaine avant la livraison.
Je réclame la livraison ce week end car la commande est dans le centre logistique régional.
On m'envoie un mail pour me dit que le fournisseur ""s'est trompé"" dans la livraison et que je n'aurai que la moitié de ma commande. 
Le transporteur m'envoie un mail pour me dire qu'ils attendent la commande complète pour me livrer.
Re-coup fil a Auchan, pour qu'ils daignent au moins nous rembourser les frais de port à défaut de vouloir nous rembourser la commande.
Et on apprend que l'autre moitié ne sera pas livré avant septembre !!!!!
Mais on marche sur la tête Auchan!!
C'est clairement et simplement du vol a l'état pur.
A ce stade, la semaine prochaine je contacte un conseiller juridique.",2022-08-12T21:11:10.000Z,"Bonjour,",2022-08-21T20:02:02.841Z
244,SAV A FUIR,1,"SAV A FUIR

Télé devant etre recu le 29 juillet, toujours rien à ce jour. Je demande un remboursement, on me dit que je l'aurai, hors en recontactant auchan pour savoir ou en est mon remboursement, on me repond que je ne serai pas rembourser tant qu'ils n'ont pas la tele dans leur entrepot alors que la tele est perdu entre les mains de mondial relay depuis le 26 juillet... 
169 e dans le vent et on refuse de me rembourser, je n'ai plus de reponse sur messenger, pas non plus sur les litiges paypal, je ne vous recommande pas auchan.fr juste pour le SAV...",2022-08-12T15:27:49.000Z,"Bonjour,",2022-08-20T15:09:31.050Z
245,!!! LE SERVICE CLIENT AUCHAN EST IRRESPECTUEUX & DÉPLORABLE !!!,1,"!!! LE SERVICE CLIENT AUCHAN EST IRRESPECTUEUX & DÉPLORABLE !!!

Suite à une erreur de facturation, à de multiples reprises j'ai contacté le service clients Auchan par e-mail mais ils ne m'ont répondu qu'une seule fois, ensuite ils n'ont jamais daignés poursuivre la conversation, et cela fut la même chose via Twitter.

C'est pourquoi je n’achète plus rien chez Auchan, je vais maintenant chez Carrefour, car d'abord, ils sont globalement moins chers que Auchan, et surtout, Carrefour eux au moins montre du respect a l’égard de leur clientèle en répondant au problème que les clients ont.",2022-08-12T15:15:43.000Z,"Bonjour,",2022-08-21T20:07:36.921Z
246,Suite à la mésaventure du siège auto,1,"Suite à la mésaventure du siège auto, commande livrable en 24 h arrivé 15 jours plus tard, en Point Relais mais pas celui que j'avais demandé et le colis dechiré défonce raccommodé avec du scotch du transporteur DPDS et une tache de café sur le carton!!!! Mais par chance le siège n'avait rien !!! Mais offrir un cadeau à presque 200 euros  sans emballage c'est la honte!!
En magasin vous achetez un article sans emballage vous ne le payez pas le prix fort vous avez 20 à 30 % de réduction ... pour le siège nous avons eu 10 euros!!! même après avoir recontacté le service client suite a sa réponse sur Truspilot",2022-08-12T09:49:22.000Z,"Bonjour,",2022-08-21T20:08:50.315Z
247,Commande web déplorable,1,"Commande web déplorable. Article jamais expédié malgré ce qu'à voulu me faire croire le service client. J'ai du appeler Colissimo pour avoir la vérité. De plus, au bout de mon troisième appel en deux semaines (je suis patient) la conseillère m'a raccroché au nez 3 fois! J'ai eu quelqu'un au bout de la 4eme fois! On m'a promis plusieurs fois de me rappeler pour me tenir informé de l'avancement et je n'ai jamais eu de nouvelles, j'ai du rappeler à chaque fois après le délai donné. On m'a donc menti, mal informé, baladé pendant environ 1 mois pour au final me dire que le produit n'était pas en stock et que j'avais été remboursé. Pour finir, le même jour de l'annonce de mon remboursement la conseillère me dit que l'article est revenu mais à un prix presque 3 fois supérieur ! (150€ au lieu de 53,99€). Le seul dédommagement était un cagnottage de 30%... Je déconseille fortement les commandes web chez Auchan.",2022-08-10T21:47:50.000Z,Bonjour et merci de votre alerte concernant un retard de livraison.,2022-08-11T10:16:55.451Z
248,Expérience déplorable de commande web,1,"Expérience déplorable de commande via Auchan.fr. 
J'ai reçu le mauvais article. C'est un article volumineux, qui occupe beaucoup de place chez moi. Je déménage bientôt, hélas, donc les livraisons vont se compliquer. 
J'ai demandé le retour de mon colis. Heureusement, Auchan.fr a mandaté un transporteur pour le reprendre directement chez moi (alors que j'étais allée le chercher moi-même dans un dépôt Mondial Relay), donc j'ai apprécié cela. Malheureusement, le transport choisi par la centrale Auchan est mauvais de réputation. D'ailleurs, le transporteur n'est pas venu au rendez-vous de reprise, fixé au moins une semaine plus tôt. Donc je suis toujours encombrée d'un colis inutile. Par la suite, le service client Auchan m'annonce, après moultes tentatives d'appels et moultes attentes téléphoniques, que l'article que j'avais commandé n'est plus actuellement en stock. Je ne peux donc pas demander d'échange, et je ne peux pas demander de remboursement car l'article mauvais est toujours chez moi, et je ne peux pas me payer le bon article dans une autre enseigne car je n'ai pas encore récupéré mon argent. Tout cela s'est produit en raison de la négligence d'Auchan dans la préparation de ma commande, et de son choix d'un mauvais transporteur. Pas professionnel ! Pour couronner le tout, j'ai dû extorquer des informations au compte-gouttes auprès du service client Auchan après autant d'attente et après que celui-ci m'ait raccroché au nez (prétendument accidentellement).",2022-08-10T16:25:11.000Z,Bonjour et merci de votre alerte concernant la réception d'un article erroné. ,2022-08-11T09:58:16.184Z
249,Cliente de Auchan SETE depuis des…,2,"Cliente de Auchan SETE depuis des années, je suis de plus en plus déçue de mon magasin. Les prix ont presque doublés ( elle a bon dos la crise ), je vais toujours faire mes courses à l’ouverture de 8h30 parce que les rayons sont habituellement bien pleins mais depuis quelques mois même le matin ils sont à moitié vides. Je pense que je vais changer pour aller chez Lidl.",2022-08-10T14:22:26.000Z,Bonjour et merci de votre alerte concernant le magasin Auchan SETE. ,2022-08-11T09:51:22.114Z
250,Équipe incompétente,1,"Équipe incompétente ! J’ai passé une commande pour une poussette le 21/07 ! On m’annonce une livraison pour le 26/07. Le 26 juillet toujours aucune nouvelles étant en vacances à l’étranger je contacte Auchan.fr à mon retour soit le 2 août. On me stipule que la poussette arrive demain chaque jour je relance on m’annonce que la poussette a du retard. A ce jour le 09 août, je rappelles une énième fois et comme par surprise on me dit que la commande n’est même pas en cours de préparation. Je demande de parler à un responsable, on me refuse ce droit. (Tout a fait légitime que je puisse parler à un responsable). Je demande l’annulation de ma commande et le remboursement, on me demande si je suis sure de vouloir annuler celle ci !!!! FUYEZ AUCHAN !!!",2022-08-09T10:43:44.000Z,"Bonjour Marion,",2022-08-09T12:28:51.720Z
251,"Bonjour,",1,"Bonjour,
Nous aurions dû recevoir notre frigo commande sur Auchan.fr depuis 6 jours malgré les relances journalières. Nos courses ne peuvent pas être rangées au frais et la commande est payée d’avance. Auchan nous indique qu’ils sont en train de régler le problème Avec les transports Agediss mais nous sommes coincés ! ! Je suis profondément déçu.",2022-08-09T10:27:41.000Z,"Bonjour Delphine,",2022-08-09T12:30:06.153Z
252,"auchan.fr! toujours déçu, jamais surpris!",1,"Achat d'un lit pliant sur auchan.fr. Aucune information sur la reprise obligatoire de l'ancien lit pliant (Ecotaxe incluse dans le prix payé pour ce recyclage; loi REP).
Appel au SAV pour confirmation reprise. 1ère interlocutrice, une nunuche qui ne comprenait rien...Après avoir expliqué 3 fois la même situation, elle a conclu avec la nullité qui la caractérisait ""pourquoi? vous aviez un ancien lit?"".
2ème appel avec une autre interlocutrice. Après avoir mal compris ma demande (habituel chez Auchan donc...), j'arrive à lui faire comprendre. Elle me fait patienter pour finalement me répondre ""on ne reprend pas l'ancien lit"". Je lui explique la loi qu'Auchan doit respecter, elle me fait de nouveau patienter pour finalement me dire ""c'est ok"" tout en refusant de confirmer par mail. Près d'une demi-heure de perdue pour un SAV des plus minables (je ne commente pas les autres nombreuses réflexions déplacées lors de ce chemin de croix téléphonique) . Commande annulée pour ne pas avoir la mauvaise surprise prévisible lors de la livraison: on ne reprend pas l'ancien lit!
Notation minimale d'une étoile alors que la notation méritée est de 4 poubelles!!!!!
RAJOUT:
Au vu de la réponse d'Omar, de l'équipe (de bras cassés?) Auchan france, je complète en précisant qu'il faut arrêter de se moquer du monde en donnant l'impression par ce genre de réponse qu'il y a une volonté de prendre le problème en compte. Les avis sur Trustpilot décrivant les expériences lamentables avec auchan.fr ont près de 10 ans! S'il y avait une réelle intention d'Auchan de bien traiter ses clients avec un service pro et un SAV pro, ça fait longtemps que ce serait en place! Alors gardez votre blabla de bonimenteur et qu'Auchan assume sa nullité qui est voulue pour faire plus de chiffre en prenant le client pour un mouton afin de mieux le tondre!",2022-08-14T14:04:37.000Z,"Bonjour,",2022-08-06T16:05:13.048Z
253,Sav minable,1,"Sav minable 
Une honte .....
J'ai acheté des airpods pro à 250€ 
Ils ont un défaut sur l'écouteur côté gauche avec un léger souffle en permanence 
3 fois envoyés chez sav auchan 
Ils me disent aucun défaut constaté 
Lamentable 
Vous avec perdu un client 
Plus aucun achat chez auchan vu l'importance que vous prenez avec les  clients 
Minable une honte",2022-08-05T11:28:09.000Z,"Bonjour Christophe, ",2022-08-06T16:08:45.206Z
254,Auchan c'est une entreprise avec des…,5,"Auchan c'est une entreprise avec des produits de qualité et à des prix moins chères et stables
Je la recommande à ceux ne l'ont pas encore découverte",2022-08-04T23:59:34.000Z,"Bonjour Mamadou, ",2022-08-06T15:59:55.576Z
255,Auchan Bagnolet,2,"Auchan Bagnolet 
Petite dégringolade depuis mon dernier avis…
Les deux étoiles données sont uniquement destinées aux personnes de l’accueil au premier étage et à cette personne de la sécurité toujours souriante et sympathique qui est parfois à l’entrée.
Pour le reste, j’ai vraiment l’impression que ça va de mal en pis : prix marqués sur les étiquettes très souvent différents de ceux qui passent à la caisse (toujours plus chers à la caisse bien entendu), personnel de plus en plus désagréable dès l’ouverture du magasin qui vous envoie limite c**** alors que je les interpelle toujours poliment (« Bonjour, excusez-moi de vous déranger, etc…), articles régulièrement manquants et autres.
Mais surtout, serait-il possible de demander aux personnes qui ouvrent les rideaux au premier étage de le faire dans cet ordre : entrée du magasin, accueil, casiers pour récupérer les commandes pour finir par les caisses ?
Ça me semble juste logique de terminer par les rideaux des caisses dans la mesure où, dès l’ouverture, absolument aucun client n’est déjà en caisse !
Et bien non, dans votre tête il est préférable de très lentement ouvrir tous les rideaux des caisses complètement désertes et de finir par les rideaux des casiers pour récupérer les commandes devant lesquels des gens patientent déjà pour récupérer leurs commandes : hallucinant !
Qui plus est, quand on demande poliment à  la personne de lever les rideaux pour les commandes, elle se fait un plaisir sadique de continuer à s’occuper des rideaux des caisses (désertes à l’ouverture du magasin je le rappelle) en trainant du pied sans oublier de s’occuper de positionner des poteaux en fer pendant que vous la regardez vous narguer pour enfin daigner lever les rideaux pour que vous puissiez enfin récupérer votre commande.
Ce n’est vraiment pas arrivé juste une fois et franchement je ne comprends pas ce qui vous empêche de lever les rideaux dans l’ordre proposé qui contenterait tout le monde sans contraindre qui que ce soit dans son travail.",2022-08-04T21:41:28.000Z,"Bonjour Salomé,",2022-08-06T16:21:34.686Z
